station_id,name,lat,lon
205938683,Delphine Seyrig - Général Leclerc,48.893924,2.397903
210399835,Panthéon - Valette,48.847021,2.346498
230877798,Chartres - La Charbonnière,48.88476,2.353466
101763163,Desaix - Edgar Faure,48.852805,2.293077
213688462,Sablons - Georges Mandel,48.863875,2.28189
27414578,Notre-Dame-des-Champs - Stanislas,48.844799,2.329338
54000569,Saint-Ambroise - Parmentier,48.862148,2.377235
508042092,Pyramide - Ecole du Breuil ,48.82238,2.458687
42603855,Liège - Moscou,48.879543,2.326463
818302209,Mairie de Montreuil,48.861315,2.440614
1057392676,Rouget de Lisle,48.764615,2.407119
129034587,Récollets - Square Villemin,48.875035,2.359801
261987383,Place Du Général De Gaulle,48.868759,2.432993
314829539,Charles de Gaulle - Beauté,48.836496,2.479563
1057324291,Cimetière de Montrouge,48.821467,2.321579
583539396,Anatole France - President Roosevelt,48.915516,2.38141
101753100,Henry Farman,48.833724,2.271385
81081358,Pajol - Place Herbert,48.892783,2.36356
209057581,Gabriel Péri - Francisco Ferrer,48.886337,2.407339
3906335682,Roger Salengro - Fontainebleau,48.814549,2.361166
586539770,Marne - Germain Dardan,48.812175,2.303502
597245295,Concorde - Stalingrad,48.798584,2.38213
235513935,Carducci - Place Hannah Arendt,48.877437,2.386074
102324803,Pyrénées - Emmery,48.872029,2.39186
532054446,Richard Lenoir - Republique,48.866718,2.369254
535500589,Hôpital Européen Georges Pompidou,48.837695,2.275374
265464297,Schoelcher - Raspail,48.836817,2.331279
66491385,Fontenay - Libération,48.847803,2.445142
37815993,Mutualité,48.848226,2.350287
13718041,Square Simon Bolivar,48.87509,2.38263
126050442,Pereire - Rennequin,48.883648,2.295245
19495443023,Paul Bodin - Clichy,48.892595,2.31714
828134511,Porte de Vanves,48.828013,2.305688
129060764,Victor Hugo - Jeanne Jugan,48.843949,2.415081
596813170,Cimetière de Fontenay-sous-Bois,48.847062,2.478782
596872103,Lucie Aubrac - Fort,48.818145,2.271185
129067920,Mouton Duvernet - Général Leclerc,48.831633,2.329312
98187918,Lobau - Hôtel de Ville,48.856212,2.353254
88140066,Rocher - Laborde,48.875902,2.322616
213683101,Lecourbe - Jean Maridor,48.837964,2.287739
213684750,Grenelle - Violet,48.84993,2.294612
2515049357,Erasme - Ulm,48.842644,2.344595
27364743,Marc Sangnier - Porte de Vanves,48.825219,2.310712
102314792,Etienne Jodelle - Saint Ouen,48.88794,2.326124
35447568,Guy Môquet - Etienne Dolet,48.81527,2.298078
583178525,Boissière - Etienne Dolet,48.876111,2.467731
2514995690,Chabanais - Petits Champs,48.867037,2.336716
66491402,Marcadet - Barbès,48.890451,2.349057
82387816,Bertie Albrecht - Hoche,48.87614,2.301303
213685090,Cevennes - Bergers,48.842408,2.281038
301841024,Molière - République,48.811116,2.314574
213679512,Sibelle - Alésia,48.826702,2.338498
66491389,Place de la Reine Astrid,48.864921,2.302549
129038848,Enghien - Faubourg Poissonnière,48.87242,2.348395
102323152,Manin - Carrières d'Amérique,48.884672,2.39197
17581042048,Place de la Porte de Champeret,48.886062,2.2917
230952057,Place Marcel Cachin,48.814114,2.390908
85147829,Hôtel de Ville de Boulogne Billancourt,48.834959,2.24168
128932790,Arsène Houssaye - Champs-Elysées,48.873409,2.29779
20636368032,Victor Cousin - Cujas,48.84791,2.34249
213681356,David Weill - Parc Montsouris,48.821092,2.333726
2515351285,Saint Lambert - Blomet,48.836591,2.293056
213685514,Place Robert Guillemard,48.836192,2.281127
102329800,Marcelin Berthelot,48.841547,2.233162
572566600,Edouard Tremblay - Julian Grimaux,48.781384,2.372351
54000625,Repos - Cimetière du Père Lachaise,48.859359,2.389613
588452142,Hoche - Jean Lolive,48.891102,2.402844
129132870,Nationale - Place Jules Guesde,48.82754,2.241605
620403530,Gabriel Péri - Danielle Casanova,48.790114,2.402578
66491378,Lakanal - Commerce,48.844425,2.294059
41610121,Censier - Jardin des Plantes,48.841072,2.355475
1765749389,Karl Marx,48.784528,2.364667
611152693,Tertres - Fontaine,48.787554,2.306236
235241110,Gare Rer de Fontenay sous Bois,48.843628,2.463047
613737748,Raspail - Manufacture des Oeillets,48.809446,2.390301
1062671597,Cossonnerie - Sébastopol,48.861327,2.34942
245187072,Louis Lumière - Porte de Bagnolet,48.864311,2.410521
463297497,Marcelle - Thalie,48.883546,2.413788
213875650,Henri Ste-Claire Déville - Paul Héroult,48.892663,2.172411
129144878,Paris - Emile Zola,48.854898,2.418669
27415665,Jean Jaurès - Salvador Allende,48.821476,2.302658
593238093,Victoire - Chaussée d'Antin,48.875066,2.331674
13356269,Assas - Rennes,48.849208,2.328515
41498023,Oberkampf - République,48.865316,2.376115
20431005501,Quai des Célestins - Henri IV,48.851291,2.362439
